iter	Passed	Remaining
287	490	1212
288	491	1210
289	493	1207
290	495	1206
291	496	1204
292	498	1203
293	500	1200
294	501	1198
295	503	1196
296	504	1194
297	506	1192
298	507	1190
299	509	1187
300	510	1186
301	512	1184
302	514	1182
303	515	1180
304	517	1178
305	518	1176
306	520	1173
307	521	1171
308	522	1169
309	524	1167
310	527	1167
311	528	1165
312	530	1164
313	531	1161
314	533	1159
315	534	1157
316	536	1155
317	537	1152
318	538	1150
319	541	1149
320	542	1148
321	544	1145
322	545	1144
323	547	1142
324	549	1140
325	550	1137
326	551	1135
327	553	1133
328	554	1131
329	556	1130
330	558	1128
331	559	1125
332	561	1123
333	562	1122
334	564	1120
335	565	1117
336	567	1115
337	568	1114
338	570	1113
339	572	1111
340	573	1109
341	575	1107
342	577	1105
343	578	1103
344	580	1101
345	583	1103
346	586	1102
347	587	1100
348	588	1098
349	590	1096
350	592	1094
351	594	1093
352	595	1091
353	596	1089
354	598	1086
355	599	1085
356	601	1083
357	602	1081
358	604	1079
359	605	1076
360	607	1074
361	609	1073
362	611	1072
363	612	1070
364	613	1068
365	615	1066
366	617	1064
367	618	1062
368	620	1060
369	621	1059
370	623	1057
371	625	1055
372	626	1053
373	628	1051
374	629	1049
375	632	1048
376	635	1050
377	637	1049
378	639	1047
379	640	1045
380	642	1043
381	643	1041
382	646	1040
383	647	1038
384	648	1036
385	650	1034
386	652	1032
387	653	1030
388	655	1029
389	656	1027
390	658	1025
391	660	1023
392	661	1022
393	663	1020
394	665	1018
395	666	1016
396	668	1014
397	669	1012
398	671	1011
399	673	1009
400	675	1009
401	677	1007
402	678	1005
403	680	1003
404	681	1001
405	683	999
406	684	997
407	685	995
408	688	994
409	690	993
410	691	991
411	693	989
412	694	987
413	696	985
414	697	983
415	699	981
416	700	979
417	702	977
418	704	977
419	706	975
420	707	973
421	709	971
422	710	969
423	712	967
424	713	965
425	715	963
426	716	962
427	718	960
428	720	959
429	722	957
430	723	955
431	724	953
432	726	951
433	727	949
434	729	947
435	730	945
436	732	943
437	735	943
438	737	942
439	738	940
440	740	938
441	741	936
442	742	934
443	744	932
444	746	930
445	748	929
446	750	928
447	751	926
448	753	924
449	754	922
450	756	920
451	757	918
452	759	917
453	760	915
454	762	913
455	764	911
456	766	910
457	767	908
458	769	906
459	770	904
460	772	902
461	773	901
462	775	899
463	776	897
464	778	895
465	780	894
466	782	892
467	783	891
468	785	889
469	786	887
470	788	885
471	789	883
472	791	881
473	793	880
474	794	878
475	796	876
476	798	875
477	799	873
478	801	871
479	802	869
480	804	867
481	805	865
482	807	863
483	809	862
484	810	860
485	812	858
486	814	857
487	815	855
488	817	853
489	818	852
490	820	850
491	821	848
492	823	846
493	825	845
494	826	843
495	828	841
496	830	840
497	831	838
498	833	836
499	834	834
500	836	832
501	837	831
502	839	829
503	840	827
504	842	825
505	844	824
506	845	822
507	847	820
508	848	818
509	850	816
510	851	815
511	854	814
512	855	812
513	857	810
514	858	808
515	860	806
516	862	805
517	863	803
518	865	801
519	866	800
520	868	798
521	870	796
522	871	795
523	873	793
524	874	791
525	877	790
526	878	788
527	880	786
528	881	785
529	884	784
530	885	782
531	887	780
532	888	778
533	890	776
534	891	775
535	893	773
536	895	771
537	897	770
538	899	769
539	901	767
540	903	766
541	904	764
542	905	762
543	907	760
544	909	759
545	911	757
546	912	755
547	914	754
548	915	752
549	917	750
550	918	748
551	920	746
552	921	745
553	924	744
554	926	742
555	927	740
556	929	738
557	930	737
558	932	735
559	933	733
560	935	731
561	936	730
562	938	728
563	941	727
564	942	725
565	944	723
566	945	722
567	947	720
568	948	718
569	950	716
570	951	714
571	953	713
572	954	711
573	957	710
574	958	708
575	960	706
576	961	704
577	962	703
578	964	701
579	966	699
580	968	698
581	970	697
582	972	695
583	974	694
584	975	692
585	977	690
586	978	688
587	980	686
588	981	685
589	983	683
590	984	681
591	987	680
592	989	678
593	990	677
594	992	675
595	993	673
596	995	671
597	996	669
598	998	668
599	999	666
600	1001	664
601	1003	663
602	1005	661
603	1006	660
604	1008	658
605	1009	656
606	1011	654
607	1012	652
608	1013	650
609	1015	649
610	1016	647
611	1018	645
612	1020	644
613	1022	642
614	1023	640
615	1025	639
616	1026	637
617	1028	635
618	1029	633
619	1031	632
620	1033	630
621	1034	628
622	1036	627
623	1037	625
624	1039	623
625	1040	621
626	1042	620
627	1043	618
628	1045	616
629	1047	615
630	1049	613
631	1051	612
632	1052	610
633	1054	608
634	1055	606
635	1057	605
636	1058	603
637	1060	601
638	1062	600
639	1064	598
640	1066	597
641	1067	595
642	1069	593
643	1070	591
644	1072	590
645	1073	588
646	1075	586
647	1076	584
648	1078	583
649	1079	581
650	1082	580
651	1083	578
652	1085	576
653	1086	574
654	1087	573
655	1089	571
656	1091	569
657	1093	568
658	1094	566
659	1096	564
660	1098	563
661	1100	561
662	1101	560
663	1103	558
664	1104	556
665	1106	554
666	1107	553
667	1109	551
668	1110	549
669	1113	548
670	1115	546
671	1116	544
672	1117	543
673	1119	541
674	1121	539
675	1122	538
676	1124	536
677	1125	534
678	1127	532
679	1128	531
680	1130	529
681	1131	527
682	1133	526
683	1134	524
684	1136	522
685	1138	520
686	1139	519
687	1141	517
688	1142	515
689	1144	514
690	1146	512
691	1147	510
692	1149	509
693	1150	507
694	1152	505
695	1153	504
696	1155	502
697	1156	500
698	1158	498
699	1160	497
700	1162	495
701	1163	494
702	1165	492
703	1167	490
704	1169	489
705	1170	487
706	1172	485
707	1173	484
708	1175	482
709	1177	480
710	1179	479
711	1180	477
712	1182	475
713	1183	474
714	1185	472
715	1187	471
716	1188	469
717	1190	467
718	1192	466
719	1193	464
720	1195	462
721	1197	460
722	1199	459
723	1200	457
724	1202	455
725	1203	454
726	1205	452
727	1207	451
728	1209	449
729	1211	448
730	1214	446
731	1216	445
732	1217	443
733	1219	441
734	1220	440
735	1222	438
736	1224	437
737	1226	435
738	1227	433
739	1229	431
740	1230	430
741	1232	428
742	1233	426
743	1235	425
744	1236	423
745	1239	421
746	1240	420
747	1242	418
748	1244	417
749	1245	415
750	1247	413
751	1249	411
752	1250	410
753	1252	408
754	1254	407
755	1256	405
756	1258	404
757	1260	402
758	1261	400
759	1263	398
760	1264	397
761	1266	395
762	1267	393
763	1269	392
764	1271	390
765	1273	389
766	1275	387
767	1276	385
768	1278	383
769	1279	382
770	1281	380
771	1282	378
772	1284	377
773	1286	375
774	1289	374
775	1290	372
776	1292	370
777	1293	369
778	1295	367
779	1296	365
780	1298	364
781	1299	362
782	1301	360
783	1303	359
784	1304	357
785	1306	355
786	1308	354
787	1309	352
788	1311	350
789	1312	348
790	1314	347
791	1315	345
792	1317	344
793	1319	342
794	1320	340
795	1322	338
796	1323	337
797	1325	335
798	1326	333
799	1328	332
800	1329	330
801	1331	328
802	1333	327
803	1335	325
804	1336	323
805	1338	322
806	1339	320
807	1341	318
808	1342	316
809	1343	315
810	1345	313
811	1346	311
812	1349	310
813	1351	308
814	1353	307
815	1356	305
816	1358	304
817	1360	302
818	1363	301
819	1366	299
820	1367	298
821	1369	296
822	1370	294
823	1372	293
824	1373	291
825	1375	289
826	1376	288
827	1380	286
828	1383	285
829	1385	283
830	1387	282
831	1389	280
832	1390	278
833	1393	277
834	1395	275
835	1397	274
836	1398	272
837	1400	270
838	1402	269
839	1403	267
840	1405	265
841	1406	263
842	1408	262
843	1410	260
844	1411	258
845	1413	257
846	1414	255
847	1416	253
848	1417	252
849	1419	250
850	1420	248
851	1424	247
852	1425	245
853	1427	244
854	1428	242
855	1430	240
856	1431	238
857	1433	237
858	1434	235
859	1436	233
860	1438	232
861	1439	230
862	1441	228
863	1443	227
864	1444	225
865	1446	223
866	1447	222
867	1449	220
868	1450	218
869	1452	217
870	1453	215
871	1455	213
872	1456	211
873	1458	210
874	1460	208
875	1461	206
876	1463	205
877	1464	203
878	1466	201
879	1468	200
880	1469	198
881	1471	196
882	1473	195
883	1474	193
884	1476	191
885	1477	190
886	1479	188
887	1480	186
888	1483	185
889	1484	183
890	1486	181
891	1487	180
892	1489	178
893	1491	176
894	1492	175
895	1494	173
896	1495	171
897	1497	170
898	1499	168
899	1500	166
900	1502	165
901	1503	163
902	1505	161
903	1507	160
904	1508	158
905	1510	156
906	1511	155
907	1513	153
908	1514	151
909	1516	149
910	1517	148
911	1519	146
912	1521	144
913	1522	143
914	1524	141
915	1525	139
916	1528	138
917	1530	136
918	1532	135
919	1533	133
920	1535	131
921	1536	130
922	1538	128
923	1540	126
924	1542	125
925	1543	123
926	1545	121
927	1546	120
928	1548	118
929	1549	116
930	1551	114
931	1553	113
932	1554	111
933	1556	109
934	1558	108
935	1559	106
936	1560	104
937	1562	103
938	1563	101
939	1565	99
940	1566	98
941	1568	96
942	1570	94
943	1572	93
944	1573	91
945	1575	89
946	1576	88
947	1578	86
948	1579	84
949	1581	83
950	1582	81
951	1584	79
952	1586	78
953	1588	76
954	1589	74
955	1591	73
956	1592	71
957	1594	69
958	1595	68
959	1597	66
960	1598	64
961	1601	63
962	1602	61
963	1604	59
964	1605	58
965	1607	56
966	1609	54
967	1610	53
968	1612	51
969	1613	49
970	1615	48
971	1617	46
972	1618	44
973	1620	43
974	1621	41
975	1623	39
976	1624	38
977	1626	36
978	1627	34
979	1629	33
980	1632	31
981	1633	29
982	1635	28
983	1636	26
984	1638	24
985	1639	23
986	1641	21
987	1642	19
988	1644	18
989	1645	16
990	1647	14
991	1648	13
992	1650	11
993	1651	9
994	1653	8
995	1654	6
996	1656	4
997	1657	3
998	1659	1
999	1660	0
