iter	RMSE
352	0.3338679171
353	0.3338538729
354	0.3336841992
355	0.333415969
356	0.3332067169
357	0.3329671112
358	0.3327283179
359	0.3327133354
360	0.3323310747
361	0.3320301394
362	0.3317509409
363	0.3316275558
364	0.3315884717
365	0.3314108008
366	0.3309749772
367	0.3305340292
368	0.3303632535
369	0.3299926746
370	0.3299799321
371	0.3296238352
372	0.3296188024
373	0.329412323
374	0.3293206856
375	0.3290762903
376	0.3287484165
377	0.3286336032
378	0.3286283337
379	0.328380906
380	0.3280750851
381	0.3277541691
382	0.3275527212
383	0.3271452499
384	0.3270741883
385	0.3269089264
386	0.326668755
387	0.3264802647
388	0.3262343073
389	0.3260022567
390	0.3258454148
391	0.3256421902
392	0.32554415
393	0.3252844717
394	0.3251275404
395	0.3248987987
396	0.3246776489
397	0.3244526801
398	0.3241855443
399	0.3240258288
400	0.3237960212
401	0.3235727021
402	0.3234714697
403	0.3230864143
404	0.3228168667
405	0.3225714171
406	0.3225278624
407	0.3222947042
408	0.3222068999
409	0.3219546128
410	0.3216170087
411	0.3213890723
412	0.3211253481
413	0.3211069399
414	0.3209527248
415	0.3207847146
416	0.3206917485
417	0.3205053754
418	0.3202853338
419	0.3199618319
420	0.3197063709
421	0.3194610844
422	0.3192856435
423	0.3192037961
424	0.3190382771
425	0.318781494
426	0.3185222736
427	0.3181025464
428	0.3178509607
429	0.3174625703
430	0.3172643602
431	0.3172577648
432	0.3169099487
433	0.3167046341
434	0.3165046718
435	0.3163985612
436	0.3162261899
437	0.3161207472
438	0.3158964432
439	0.3157401219
440	0.3154680614
441	0.3152806058
442	0.3151702808
443	0.3149913635
444	0.3146671963
445	0.3143778399
446	0.3142295287
447	0.3140782071
448	0.3139412997
449	0.3135928569
450	0.3133522453
451	0.3131765061
452	0.3130579725
453	0.3127517473
454	0.3126607158
455	0.3125189613
456	0.3122915644
457	0.3121081406
458	0.31191339
459	0.3115969036
460	0.3113959072
461	0.3111247447
462	0.310872629
463	0.3105666337
464	0.3104647298
465	0.3103001067
466	0.3100043019
467	0.3099260018
468	0.3097007306
469	0.3095728169
470	0.3092591893
471	0.3091254817
472	0.3089913889
473	0.3087867446
474	0.3085375873
475	0.3083915543
476	0.3082900533
477	0.3081166593
478	0.3079123091
479	0.3076362769
480	0.3075712396
481	0.3073377402
482	0.3071907832
483	0.3071361785
484	0.3070293085
485	0.3067047637
486	0.3065154386
487	0.3062850694
488	0.306135831
489	0.3059083104
490	0.3055973592
491	0.3053048892
492	0.3050884515
493	0.3049555106
494	0.3047792584
495	0.3046369979
496	0.304472167
497	0.3043989884
498	0.3043463989
499	0.3040994241
500	0.3037924007
501	0.3037278021
502	0.3035299793
503	0.3033422777
504	0.3032678307
505	0.3031512849
506	0.3029194406
507	0.3027789706
508	0.3027031247
509	0.3025453417
510	0.3023897663
511	0.3023144868
512	0.3021599122
513	0.3019576161
514	0.3017269999
515	0.3015493552
516	0.3013822847
517	0.3011962119
518	0.3010064598
519	0.3009227451
520	0.3007055727
521	0.3004944886
522	0.3003217651
523	0.3001440352
524	0.2999842876
525	0.2997239696
526	0.2995373145
527	0.2993514784
528	0.2992237666
529	0.2989586258
530	0.2988448167
531	0.298734783
532	0.2985974244
533	0.2983899838
534	0.2983026644
535	0.2981436344
536	0.2979042705
537	0.2977369452
538	0.2976906679
539	0.2975157718
540	0.297335315
541	0.297122978
542	0.297111653
543	0.2969779637
544	0.2967362764
545	0.2966660178
546	0.2965274645
547	0.2963514613
548	0.2961874583
549	0.2960278801
550	0.2958641817
551	0.2957362503
552	0.2955327999
553	0.2954552206
554	0.295246962
555	0.2951185879
556	0.295035252
557	0.2948332976
558	0.2945484128
559	0.2944092384
560	0.2942588057
561	0.2940971101
562	0.2939979911
563	0.2938247452
564	0.2938084377
565	0.2936371831
566	0.293552166
567	0.2933446268
568	0.2931523704
569	0.2930094493
570	0.2928044253
571	0.2925895746
572	0.2924604053
573	0.2923207687
574	0.2921949197
575	0.2921126765
576	0.292081179
577	0.2919465055
578	0.291820146
579	0.2917096423
580	0.2915930801
581	0.2914467764
582	0.2912668296
583	0.2911558662
584	0.2908785574
585	0.2908474619
586	0.2907274826
587	0.2905976122
588	0.2904065905
589	0.2902580552
590	0.2900872417
591	0.2899471191
592	0.2898788391
593	0.2896588383
594	0.2895112012
595	0.2894648367
596	0.2893462113
597	0.289292606
598	0.2891926744
599	0.2889559013
600	0.2888579401
601	0.2887965509
602	0.2887140564
603	0.2885489176
604	0.2885072506
605	0.2883959769
606	0.2882424831
607	0.2881126692
608	0.2880725576
609	0.2879026016
610	0.2877753328
611	0.2876532214
612	0.2875299223
613	0.2873390023
614	0.2872199615
615	0.2871174631
616	0.2870169909
617	0.2869771035
618	0.2868440422
619	0.2867344446
620	0.2865846891
621	0.2864266641
622	0.2863186818
623	0.286210482
624	0.2861502851
625	0.2860363876
626	0.2858800771
627	0.2857220918
628	0.2855945858
629	0.2854706207
630	0.2853860283
631	0.2852867281
632	0.2850910657
633	0.2850030553
634	0.2849362065
635	0.2847917275
636	0.2846315545
637	0.2845158397
638	0.2844182433
639	0.2843016291
640	0.2841926707
641	0.2841082613
642	0.2838492839
643	0.2837236479
644	0.2836180721
645	0.2834710542
646	0.2833468553
647	0.2832544162
648	0.2831922935
649	0.2830480153
650	0.2829150168
651	0.282791239
652	0.2827077911
653	0.2826824102
654	0.2825471349
655	0.282414225
656	0.2823246481
657	0.2822821598
658	0.2821309379
659	0.2818451018
660	0.2816881801
661	0.2815713493
662	0.2813372061
663	0.2812189534
664	0.2811076668
665	0.2809344179
666	0.2806222684
667	0.2805987618
668	0.2803566734
669	0.2802007562
670	0.280060278
671	0.2798622247
672	0.2797391634
673	0.2796087457
674	0.2795680114
675	0.2794269968
676	0.2793443403
677	0.2792541565
678	0.2792250843
679	0.2791043112
680	0.2789418835
681	0.2787850838
682	0.2786727289
683	0.2784942344
684	0.278435702
685	0.2782928197
686	0.2781296742
687	0.2779884693
688	0.2778896048
689	0.2777094209
690	0.2775733372
691	0.2774776864
692	0.2773465044
693	0.2772331131
694	0.2771254296
695	0.2770568953
696	0.2769770578
697	0.2768321229
698	0.2766973017
699	0.2766634864
700	0.2765635305
701	0.2764390794
702	0.276261539
703	0.2760854094
704	0.2758454418
705	0.2757674594
706	0.2756518585
707	0.2755735462
708	0.275360902
709	0.2752424131
710	0.2751141427
711	0.274980465
712	0.2748370134
713	0.2747179378
714	0.2745827602
715	0.2745044615
716	0.2744208336
717	0.2743658887
718	0.2743181043
719	0.2742101503
720	0.2740748946
721	0.2739070382
722	0.2737364468
723	0.2735093563
724	0.2734246879
725	0.2732947065
726	0.2732208555
727	0.2730995146
728	0.272974668
729	0.2728505335
730	0.2727194877
731	0.2726206236
732	0.2724999216
733	0.2722921317
734	0.2721463478
735	0.2719991881
736	0.2718800446
737	0.2717446973
738	0.2716005322
739	0.2714291539
740	0.2713282224
741	0.2711726235
742	0.2709986214
743	0.2708885899
744	0.270841648
745	0.2708040017
746	0.270759819
747	0.2706477229
748	0.270633294
749	0.2704971994
750	0.2704060716
751	0.2703038399
752	0.2702596527
753	0.2701563591
754	0.2699691626
755	0.2699233618
756	0.2698251745
757	0.2697052631
758	0.269559968
759	0.2693860143
760	0.2693345843
761	0.2692249584
762	0.2691178765
763	0.2689020103
764	0.2687702599
765	0.268666043
766	0.2685202127
767	0.2684033523
768	0.2683297816
769	0.2681103585
770	0.268001875
771	0.2678821933
772	0.267854064
773	0.2677930119
774	0.2677392787
775	0.2676721176
776	0.2675796726
777	0.2674862577
778	0.2674264486
779	0.2673665033
780	0.2672279274
781	0.2671725376
782	0.2670779772
783	0.2669990441
784	0.2668036461
785	0.2667212841
786	0.2666425582
787	0.2665784011
788	0.2664598523
789	0.2663240257
790	0.2662842311
791	0.266193971
792	0.2661097776
793	0.2660211635
794	0.2658926797
795	0.2658108113
796	0.2657028325
797	0.265608619
798	0.2654893402
799	0.2653970705
800	0.2653265335
801	0.2652887131
802	0.2651570301
803	0.2650355608
804	0.2649144918
805	0.2648352947
806	0.2647603957
807	0.2647329819
808	0.2646752785
809	0.2646325414
810	0.2645236885
811	0.2644873527
812	0.2643282931
813	0.2641479904
814	0.264038315
815	0.2639586609
816	0.2638171224
817	0.263737959
818	0.2635338179
819	0.2634527668
820	0.2633304642
821	0.2632057476
822	0.2631310565
823	0.2630496968
824	0.2629857062
825	0.262892272
826	0.2627947654
827	0.2626649082
828	0.2626166194
829	0.2624498058
830	0.262336708
831	0.2622786363
832	0.2621839351
833	0.2620602752
834	0.2619520822
835	0.261888019
836	0.2617949066
837	0.261715255
838	0.2616272184
839	0.2615464405
840	0.2614553246
841	0.2613994505
842	0.2613106926
843	0.2612339142
844	0.2612006067
845	0.2611091879
846	0.2610624646
847	0.2609174546
848	0.260827938
849	0.2607508733
850	0.2605714751
851	0.260463213
852	0.2603287141
853	0.2601977973
854	0.260139556
855	0.2600532515
856	0.2600031312
857	0.2599170857
858	0.2598026776
859	0.2596631461
860	0.2595527295
861	0.2594747591
862	0.259394134
863	0.2593338872
864	0.2590694047
865	0.2589973279
866	0.2588624802
867	0.2587273554
868	0.258645782
869	0.2585613171
870	0.2584395679
871	0.2583701837
872	0.2582631249
873	0.2582206274
874	0.2582026588
875	0.2581380915
876	0.2580321653
877	0.2579500226
878	0.2577798833
879	0.2576606209
880	0.257535557
881	0.2575015765
882	0.2574511048
883	0.2573492584
884	0.2572155113
885	0.2570924839
886	0.2569967857
887	0.2568671174
888	0.2567668545
889	0.256742987
890	0.2566536432
891	0.2565540039
892	0.2564743296
893	0.2564174192
894	0.2563243418
895	0.2562480993
896	0.256160895
897	0.25612528
898	0.2559689209
899	0.2558783168
900	0.2557009398
901	0.2554909426
902	0.255391421
903	0.2553127945
904	0.2552367122
905	0.2551838131
906	0.2551374183
907	0.2550732978
908	0.2549995049
909	0.2548965721
910	0.2548028703
911	0.2547083465
912	0.2546292853
913	0.254537398
914	0.2544437558
915	0.2543654454
916	0.2542483874
917	0.2541932268
918	0.2541288515
919	0.2540151374
920	0.2539222876
921	0.2538379001
922	0.2536520393
923	0.2535732206
924	0.2534963669
925	0.2534346373
926	0.2533258222
927	0.2532634749
928	0.2531944429
929	0.2531810449
930	0.253112345
931	0.2530292039
932	0.2528204024
933	0.2527559417
934	0.2526812808
935	0.2525687348
936	0.2525605491
937	0.2523973156
938	0.252311227
939	0.252042631
940	0.2519276494
941	0.251784921
942	0.2517173182
943	0.2515843161
944	0.2514940801
945	0.2514071471
946	0.2513559059
947	0.2513068057
948	0.251274621
949	0.2512609546
950	0.2511546908
951	0.2510144504
952	0.2509651577
953	0.2508734843
954	0.2508278943
955	0.250797491
956	0.2507077442
957	0.2506193525
958	0.250590403
959	0.2505448446
960	0.2505052143
961	0.2504114006
962	0.2503294806
963	0.2503124595
964	0.2502269407
965	0.2501533559
966	0.2501086197
967	0.250038717
968	0.2499589387
969	0.2498748403
970	0.2498328897
971	0.2497152763
972	0.2496547572
973	0.2496357811
974	0.2496189161
975	0.249548411
976	0.2495118793
977	0.2493881739
978	0.2493192429
979	0.2493044768
980	0.2492749675
981	0.2492174051
982	0.2491431976
983	0.2490820815
984	0.2489837765
985	0.2489186537
986	0.2488321529
987	0.2487395745
988	0.2486931554
989	0.2486264918
990	0.2485693476
991	0.2485611596
992	0.2485235638
993	0.2484846685
994	0.2484682112
995	0.2483878221
996	0.2483812959
997	0.2482914437
998	0.2481686832
999	0.2480775528
